Motif Orientation	Motif Position	Positional Enrichment Coefficient	Standard Error	95% CI Upper	95% CI Lower	P-value	Adjusted P-value
+	-36.0	0.001333164537855094	0.002412176634100419	0.006063237561327719	-0.0033969084856175303	0.5805312581117813	0.9875799254970055
+	-35.0	0.0008919585420137331	0.0022252869934354753	0.0052555568906309585	-0.003471639806603492	0.6885806705219344	0.9875799254970055
+	-34.0	0.0001090229283615986	0.0020528199908892747	0.004134428167630843	-0.0039163823109076455	0.957649422624855	0.9890948859717803
+	-33.0	-0.0006116899280827666	0.001985079590143902	0.003280882152272969	-0.004504262008438502	0.7579986418115086	0.9890948859717803
+	-32.0	-0.0010025916708065856	0.002142391049827521	0.0031984547895814756	-0.005203638131194646	0.6398412504621318	0.9875799254970055
+	-31.0	6.090267286373049e-05	0.0021858541682095137	0.004347176608250251	-0.004225371262522789	0.9777742962489132	0.9890948859717803
+	-30.0	0.002034883276528207	0.002331744387801236	0.006607235512452057	-0.002537468959395643	0.3829175867226763	0.9717740436155313
+	-29.0	0.002637659068534976	0.0024274903533351784	0.007397760991723057	-0.002122442854653105	0.27732800795776547	0.9490117611725694
+	-28.0	0.003248824452392325	0.002268458117517197	0.007697077700043548	-0.0011994287952588984	0.152219533376668	0.9057892884088191
+	-27.0	0.0020096873923024844	0.002205884152002295	0.006335238420692669	-0.0023158636360877003	0.36235303124298524	0.9515705690033177
+	-26.0	-0.002266329307238216	0.002266449418727742	0.0021779850530935776	-0.006710643667570009	0.31743308378554563	0.9490117611725694
+	-25.0	-0.003794997983484029	0.00242313674616755	0.0009565668866842693	-0.008546562853652327	0.11744003892352871	0.9057892884088191
+	-24.0	-0.0008399366029199749	0.0023227604436332917	0.0037147988833212686	-0.005394672089161218	0.7176730691467416	0.9875799254970055
+	-23.0	0.002802836657214483	0.002172827106259746	0.007063565633151264	-0.0014578923187222982	0.19718778473348056	0.9291077039261367
+	-22.0	0.004265957870168031	0.0022595696865765577	0.00869678166144406	-0.00016486592110799732	0.059148361092466614	0.9057892884088191
+	-21.0	0.003001290274108964	0.0021301584727274666	0.007178349692200641	-0.001175769143982713	0.15897403066097776	0.9058520237663261
+	-20.0	0.0010138777876549643	0.0021499144781810327	0.005229677050551722	-0.003201921475241793	0.6372608109961435	0.9875799254970055
+	-19.0	-0.001515559191690116	0.0022631570476654315	0.0029222991092781375	-0.005953417492658369	0.5031327107590302	0.9875799254970055
+	-18.0	-0.003764187964730455	0.0022820320384303663	0.0007106825862419567	-0.008239058515702866	0.0991732171539945	0.9057892884088191
+	-17.0	-0.0025955307728823965	0.002329455594293138	0.001972333333824087	-0.00716339487958888	0.2652912191214415	0.9490117611725694
+	-16.0	-5.40980438334161e-05	0.0023383258066906496	0.00453115979423619	-0.0046393558819030215	0.9815441375545642	0.9890948859717803
