motif_id	motif_length
MA0464.2 BHLHE40	10
MA0817.1 BHLHE23	12
MA0818.1 BHLHE22	10
MA0819.1 CLOCK	10
MA0820.1 FIGLA	10
MA0821.1 HES5	12
MA0822.1 HES7	12
MA0823.1 HEY1	10
MA0824.1 ID4	10
MA0058.3 MAX	10
MA0825.1 MNT	10
MA0826.1 OLIG1	10
MA0827.1 OLIG3	10
MA0828.1 SREBF2(var.2)	10
MA0829.1 Srebf1(var.2)	10
MA0522.2 TCF3	10
MA0830.1 TCF4	10
MA0832.1 Tcf21	14
MA0833.1 ATF4	13
MA0834.1 ATF7	14
MA0835.1 BATF3	14
MA0466.2 CEBPB	10
MA0836.1 CEBPD	10
MA0837.1 CEBPE	10
MA0838.1 CEBPG	10
MA0839.1 CREB3L1	14
MA0840.1 Creb5	12
MA0117.2 Mafb	12
MA0841.1 NFE2	11
MA0842.1 NRL	11
MA0843.1 TEF	12
MA0844.1 XBP1	14
MA0845.1 FOXB1	11
MA0032.2 FOXC1	11
MA0846.1 FOXC2	12
MA0847.1 FOXD2	7
MA0848.1 FOXO4	7
MA0849.1 FOXO6	7
MA0850.1 FOXP3	7
MA0851.1 Foxj3	17
MA0853.1 Alx4	17
MA0854.1 Alx1	17
MA0855.1 RXRB	14
MA0856.1 RXRG	14
MA0857.1 Rarb	16
MA0858.1 Rarb(var.2)	17
MA0859.1 Rarg	16
MA0860.1 Rarg(var.2)	17
MA0525.2 TP63	18
MA0106.3 TP53	18
MA0861.1 TP73	18
MA0862.1 GMEB2	8
MA0863.1 MTF1	14
MA0024.3 E2F1	12
MA0864.1 E2F2	16
MA0865.1 E2F8	12
MA0866.1 SOX21	15
MA0867.1 SOX4	16
MA0868.1 SOX8	16
MA0869.1 Sox11	15
MA0870.1 Sox1	15
MA0871.1 TFEC	10
MA0872.1 TFAP2A(var.3)	13
MA0028.2 ELK1	10
MA0873.1 HOXD12	11
MA0874.1 Arx	17
MA0875.1 BARX1	8
MA0876.1 BSX	8
MA0877.1 Barhl1	10
MA0878.1 CDX1	9
MA0879.1 Dlx1	10
MA0880.1 Dlx3	8
MA0881.1 Dlx4	8
MA0882.1 DLX6	8
MA0883.1 Dmbx1	17
MA0884.1 DUXA	13
MA0885.1 Dlx2	8
MA0886.1 EMX2	10
MA0887.1 EVX1	10
MA0888.1 EVX2	10
MA0889.1 GBX1	10
MA0890.1 GBX2	10
MA0891.1 GSC2	10
MA0892.1 GSX1	10
MA0893.1 GSX2	10
MA0894.1 HESX1	10
MA0895.1 HMBOX1	10
MA0896.1 Hmx1	17
MA0897.1 Hmx2	17
MA0898.1 Hmx3	17
MA0899.1 HOXA10	11
MA0900.1 HOXA2	10
MA0901.1 HOXB13	10
MA0902.1 HOXB2	10
MA0903.1 HOXB3	10
MA0904.1 Hoxb5	16
MA0905.1 HOXC10	10
MA0906.1 HOXC12	11
MA0907.1 HOXC13	11
MA0908.1 HOXD11	10
MA0909.1 HOXD13	10
MA0910.1 Hoxd8	17
MA0911.1 Hoxa11	12
MA0912.1 Hoxd3	16
MA0913.1 Hoxd9	10
MA0914.1 ISL2	8
MA1100.1 ASCL1	13
MA1101.1 BACH2	14
MA0018.3 CREB1	12
MA1102.1 CTCFL	14
MA0852.2 FOXK1	14
MA1103.1 FOXK2	11
MA0481.2 FOXP1	12
MA0036.3 GATA2	11
MA1104.1 GATA6	13
MA1105.1 GRHL2	15
MA1106.1 HIF1A	10
MA0039.3 KLF4	11
MA1107.1 KLF9	13
MA0495.2 MAFF	21
MA0496.2 MAFK	19
MA0620.2 MITF	18
MA1108.1 MXI1	13
MA0147.3 MYC	12
MA0100.3 MYB	10
MA0104.4 MYCN	12
MA1109.1 NEUROD1	13
MA0161.2 NFIC	11
MA0060.3 NFYA	11
MA1110.1 NR1H4	11
MA1111.1 NR2F2	11
MA1112.1 NR4A1	10
MA0014.3 PAX5	12
MA1113.1 PBX2	12
MA1114.1 PBX3	17
MA1115.1 POU5F1	11
MA0508.2 PRDM1	10
MA1116.1 RBPJ	10
MA1117.1 RELB	11
MA1118.1 SIX1	11
MA1119.1 SIX2	16
MA0442.2 SOX10	11
MA1120.1 SOX13	11
MA1121.1 TEAD2	13
MA1122.1 TFDP1	11
MA1123.1 TWIST1	13
MA0526.2 USF2	16
MA0750.2 ZBTB7A	13
MA0103.3 ZEB1	11
MA1124.1 ZNF24	13
MA1125.1 ZNF384	12
MA1154.1 ZNF282	17
MA1155.1 ZSCAN4	15
MA0037.3 GATA3	8
MA0099.3 FOS::JUN	10
MA1126.1 FOS::JUN(var.2)	16
MA1127.1 FOSB::JUN	11
MA1128.1 FOSL1::JUN	13
MA1129.1 FOSL1::JUN(var.2)	10
MA1130.1 FOSL2::JUN	12
MA1131.1 FOSL2::JUN(var.2)	11
MA1132.1 JUN::JUNB	10
MA1133.1 JUN::JUNB(var.2)	12
MA1134.1 FOS::JUNB	12
MA1135.1 FOSB::JUNB	10
MA1136.1 FOSB::JUNB(var.2)	10
MA1137.1 FOSL1::JUNB	13
MA1138.1 FOSL2::JUNB	10
MA1139.1 FOSL2::JUNB(var.2)	12
MA1140.1 JUNB(var.2)	10
MA1141.1 FOS::JUND	13
MA1142.1 FOSL1::JUND	10
MA1143.1 FOSL1::JUND(var.2)	10
MA1144.1 FOSL2::JUND	10
MA1145.1 FOSL2::JUND(var.2)	15
MA1146.1 NR1A4::RXRA	15
MA1147.1 NR4A2::RXRA	15
MA1148.1 PPARA::RXRA	18
MA1149.1 RARA::RXRG	18
MA1150.1 RORB	11
MA1151.1 RORC	12
MA1152.1 SOX15	10
MA0831.2 TFE3	8
MA0693.2 VDR	8
MA1153.1 Smad4	8
MA0162.3 EGR1	14
MA1418.1 IRF3	21
MA1419.1 IRF4	15
MA1420.1 IRF5	14
MA1421.1 TCF7L1	12
